category	folder_path	xmin	xmax	ymin	ymax	class	score	total
Road	0000000167.png	1092	1140	36	84	['mandatory: 97%']	97.84731864929199	1
Road	0000000164.png	1002	1036	61	98	['mandatory: 98%']	98.20911288261414	1
Road	0000000187.png	108	136	93	124	['prohibitory: 99%']	99.99892711639404	1
Road	0000000163.png	983	1014	71	105	['mandatory: 90%']	90.42149186134338	1
Road	0000000185.png	179	201	111	134	['prohibitory: 99%']	99.98262524604797	1
Road	0000000189.png	22	54	91	126	['prohibitory: 99%']	99.99715089797974	1
Road	0000000166.png	1055	1100	46	89	['prohibitory: 94%']	94.67319846153259	1
Road	0000000160.png	933	959	88	116	['prohibitory: 65%']	65.95574021339417	1
Road	0000000208.png	1017	1045	9	37	['prohibitory: 97%']	97.97146916389465	1
Road	0000000165.png	1026	1064	52	93	['mandatory: 86%']	86.2824559211731	1
Road	0000000169.png	1193	1242	13	67	['prohibitory: 98%']	98.59768152236938	1
Road	0000000184.png	206	225	119	140	['prohibitory: 99%']	99.97168183326721	1
Road	0000000168.png	1137	1193	26	76	['prohibitory: 99%']	99.05053973197937	1
Road	0000000161.png	947	975	83	114	['prohibitory: 99%']	99.92712140083313	1
Road	0000000162.png	961	993	79	111	['prohibitory: 94%']	94.15444135665894	1
Road	0000000188.png	68	98	89	122	['prohibitory: 99%']	99.99597072601318	1
Road	0000000186.png	144	169	103	131	['prohibitory: 99%']	99.99383687973022	1
