category	folder_path	xmin	xmax	ymin	ymax	class	score	total
Road	0000000018.png	1034	1082	74	119	['prohibitory: 99%']	99.99961853027344	1
Road	0000000016.png	935	972	95	133	['prohibitory: 99%']	99.9993085861206	1
Road	0000000131.png	1136	1155	142	162	['prohibitory: 95%']	95.22421956062317	1
Road	0000000006.png	742	760	139	158	['prohibitory: 96%']	96.5200424194336	1
Road	0000000132.png	1167	1187	141	162	['prohibitory: 81%']	81.94119930267334	1
Road	0000000013.png	847	876	116	145	['prohibitory: 99%']	99.99397993087769	1
Road	0000000133.png	1204	1227	142	165	['prohibitory: 94%']	94.09953951835632	1
Road	0000000007.png	754	772	138	158	['prohibitory: 97%']	97.86125421524048	1
Road	0000000015.png	900	933	104	136	['prohibitory: 99%']	99.99896287918091	1
Road	0000000012.png	828	853	122	148	['prohibitory: 99%']	99.97583031654358	1
Road	0000000008.png	765	785	137	158	['prohibitory: 95%']	95.58714032173157	1
Road	0000000014.png	871	902	111	141	['prohibitory: 99%']	99.9988317489624	1
Road	0000000017.png	979	1021	86	129	['prohibitory: 99%']	99.99992847442627	1
Road	0000000005.png	734	750	143	160	['prohibitory: 90%']	90.72385430335999	1
Road	0000000009.png	781	801	134	155	['prohibitory: 99%']	99.99229907989502	1
Road	0000000010.png	796	816	130	152	['prohibitory: 99%']	99.91545677185059	1
Road	0000000011.png	809	833	125	149	['prohibitory: 99%']	99.99338388442993	1
Road	0000000019.png	1109	1165	57	113	['prohibitory: 99%']	99.9998927116394	1
