category	folder_path	xmin	xmax	ymin	ymax	class	score	total
Road	data/0000000752.png	299	346	116	159	['danger: 99%']	99.98962879180908	1
Road	data/0000000746.png	62	113	129	175	['danger: 99%']	99.9860167503357	1
Road	data/0000000593.png	405	450	34	91	['danger: 99%']	99.94232654571533	2
Road	data/0000000593.png	400	450	91	144	['mandatory: 94%']	94.5882260799408	2
Road	data/0000000587.png	294	337	40	94	['danger: 99%']	99.35603141784668	3
Road	data/0000000587.png	287	335	92	143	['prohibitory: 88%']	88.322913646698	3
Road	data/0000000587.png	289	334	95	142	['mandatory: 54%']	54.18435335159302	3
Road	data/0000000550.png	575	593	133	151	['prohibitory: 86%']	86.21770143508911	1
Road	data/0000000578.png	260	300	51	96	['danger: 93%']	93.05897951126099	2
Road	data/0000000578.png	255	296	97	141	['prohibitory: 86%']	86.34784817695618	2
Road	data/0000000626.png	668	734	56	120	['danger: 99%']	99.99390840530396	1
Road	data/0000000632.png	717	812	2	91	['danger: 99%']	99.99634027481079	1
Road	data/0000000633.png	734	836	0	84	['danger: 99%']	99.9962329864502	1
Road	data/0000000627.png	674	747	50	114	['danger: 99%']	99.99120235443115	1
Road	data/0000000579.png	253	295	98	142	['prohibitory: 78%']	78.32070589065552	2
Road	data/0000000579.png	254	294	99	142	['mandatory: 71%']	71.93741202354431	2
Road	data/0000000551.png	569	589	132	153	['prohibitory: 56%']	56.23347759246826	2
Road	data/0000000551.png	571	589	133	154	['mandatory: 53%']	53.33630442619324	2
Road	data/0000000586.png	283	322	42	93	['danger: 99%']	99.98940229415894	2
Road	data/0000000586.png	279	326	94	143	['mandatory: 82%']	82.85530805587769	2
Road	data/0000000592.png	380	427	35	94	['danger: 99%']	99.99978542327881	3
Road	data/0000000592.png	376	422	95	145	['mandatory: 89%']	89.37544822692871	3
Road	data/0000000592.png	375	425	91	149	['prohibitory: 64%']	64.0969455242157	3
Road	data/0000000747.png	105	157	126	171	['danger: 99%']	99.99582767486572	1
Road	data/0000000753.png	334	381	116	158	['danger: 99%']	99.99512434005737	1
