Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000236.png	264	286	127	151	['prohibitory: 96%']	96.62485122680664	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000183.png	731	760	102	131	['prohibitory: 99%']	99.9968409538269	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000154.png	663	689	137	162	['danger: 99%']	99.9545395374298	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000168.png	804	881	72	138	['danger: 99%']	99.97515082359314	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000169.png	840	933	57	134	['danger: 99%']	99.91039633750916	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000155.png	668	695	136	163	['danger: 99%']	99.99502897262572	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000182.png	721	748	105	132	['prohibitory: 99%']	99.92086291313171	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000235.png	268	291	120	142	['prohibitory: 64%']	64.08238410949707	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000341.png	795	832	171	206	['danger: 68%']	68.72310042381287	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000180.png	701	729	113	139	['prohibitory: 99%']	99.99734163284302	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000157.png	674	705	135	164	['danger: 99%']	99.99650716781616	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000156.png	670	700	136	164	['danger: 99%']	99.99319314956664	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000181.png	712	736	112	135	['prohibitory: 99%']	99.98840093612672	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000234.png	274	296	108	130	['prohibitory: 99%']	99.81614947319031	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000224.png	338	356	150	171	['mandatory: 77%']	77.14920043945312	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000230.png	303	324	143	164	['prohibitory: 99%']	99.40778017044069	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000344.png	312	334	184	208	['danger: 90%']	90.31509757041931	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000191.png	881	932	32	83	['prohibitory: 99%']	99.9998927116394	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000185.png	753	788	92	125	['prohibitory: 99%']	99.99836683273315	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000152.png	655	679	142	165	['danger: 99%']	99.95800852775574	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000153.png	659	686	138	163	['danger: 99%']	99.98298883438109	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000184.png	743	775	98	129	['prohibitory: 99%']	99.99716281890869	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000190.png	848	898	46	92	['prohibitory: 99%']	99.9992609024048	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000345.png	739	769	187	212	['mandatory: 96%']	96.03253602981569	2
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000345.png	458	482	174	194	['danger: 52%']	52.45794653892517	2
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000351.png	642	671	201	229	['danger: 83%']	83.42558741569519	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000231.png	297	319	132	153	['prohibitory: 99%']	99.55381155014038	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000233.png	285	306	107	130	['prohibitory: 99%']	99.40989017486572	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000227.png	321	343	156	177	['prohibitory: 62%']	62.202614545822144	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000353.png	605	634	228	254	['mandatory: 55%']	55.01847267150879	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000186.png	768	805	85	121	['prohibitory: 99%']	99.96753931045531	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000192.png	917	974	18	70	['prohibitory: 99%']	99.99971389770508	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000179.png	695	719	116	139	['prohibitory: 99%']	99.92899894714355	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000150.png	653	675	147	170	['danger: 98%']	98.90536665916443	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000178.png	690	714	120	143	['prohibitory: 99%']	99.99666213989258	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000193.png	962	1027	3	56	['prohibitory: 99%']	99.99845027923584	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000187.png	785	824	76	115	['prohibitory: 99%']	99.99957084655762	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000352.png	628	655	206	233	['danger: 79%']	79.49360013008119	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000346.png	455	475	174	197	['mandatory: 98%']	98.15040826797484	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000296.png	684	729	97	141	['danger: 99%']	99.98546838760376	2
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000296.png	651	681	130	156	['danger: 94%']	94.65833902359007	2
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000282.png	627	652	136	161	['danger: 99%']	99.98773336410522	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000241.png	226	252	156	180	['prohibitory: 97%']	97.7732241153717	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000321.png	780	869	46	125	['danger: 99%']	99.99018907546996	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000309.png	678	716	110	144	['danger: 99%']	99.99828338623048	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000308.png	674	712	112	147	['danger: 99%']	99.99630451202393	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000320.png	765	842	57	126	['danger: 99%']	99.94223117828369	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000240.png	235	260	159	181	['prohibitory: 99%']	99.75982308387756	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000254.png	34	66	156	189	['prohibitory: 98%']	98.69495034217834	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000283.png	627	656	133	160	['danger: 99%']	99.99699592590332	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000297.png	691	738	89	138	['danger: 99%']	99.9992847442627	2
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000297.png	653	683	130	156	['danger: 99%']	99.94381070137024	2
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000068.png	223	270	124	170	['danger: 98%']	98.12954664230348	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000281.png	624	649	140	163	['danger: 99%']	99.9680757522583	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000295.png	676	723	102	144	['danger: 99%']	99.96223449707031	2
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000295.png	647	673	131	157	['danger: 96%']	96.43397331237793	2
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000242.png	215	241	156	179	['prohibitory: 99%']	99.16961789131165	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000322.png	804	901	29	118	['danger: 99%']	99.97420907020569	1
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000323.png	834	945	5	106	['danger: 99%']	99.9964952468872	2
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000323.png	655	676	175	194	['danger: 92%']	92.4312174320221	2
Residential	2011_09_26/2011_09_26_drive_0019_sync/image_03/data/0000000337.png	844	878	166	196	['danger: 93%']	93.22715997695923	1
