category	folder_path	xmin	xmax	ymin	ymax	class	score	total
Road	data/0000000587.png	875	905	290	323	['prohibitory: 71%']	71.42578363418579	1
Road	data/0000001048.png	1181	1222	60	121	['mandatory: 81%']	81.80128335952759	1
Road	data/0000000183.png	901	925	181	205	['prohibitory: 76%']	76.66813731193542	1
Road	data/0000000626.png	637	658	116	137	['prohibitory: 92%']	92.85234808921814	1
Road	data/0000000632.png	616	639	109	132	['prohibitory: 99%']	99.98040795326233	1
Road	data/0000000633.png	613	635	108	131	['prohibitory: 99%']	99.95993971824646	1
Road	data/0000000627.png	632	653	115	136	['prohibitory: 99%']	99.61960315704346	1
Road	data/0000001075.png	1092	1129	112	141	['prohibitory: 98%']	98.74940514564514	1
Road	data/0000000433.png	439	462	171	190	['danger: 98%']	98.90437126159668	1
Road	data/0000000631.png	619	642	112	135	['prohibitory: 99%']	99.98501539230347	1
Road	data/0000000625.png	643	665	119	141	['prohibitory: 99%']	99.9498724937439	1
Road	data/0000000630.png	623	646	113	136	['prohibitory: 99%']	99.96539354324341	1
Road	data/0000001076.png	1143	1180	105	134	['prohibitory: 75%']	75.28896927833557	1
Road	data/0000000432.png	449	473	169	192	['danger: 71%']	71.89961671829224	1
Road	data/0000000383.png	564	582	167	186	['mandatory: 90%']	90.60375690460205	1
Road	data/0000000744.png	1157	1201	37	77	['prohibitory: 99%']	99.99994039535522	1
Road	data/0000000740.png	976	1012	65	100	['prohibitory: 99%']	99.99934434890747	1
Road	data/0000000436.png	392	418	162	185	['danger: 94%']	94.8748767375946	1
Road	data/0000000634.png	611	633	106	128	['prohibitory: 98%']	98.92724752426147	1
Road	data/0000000635.png	297	377	144	185	['prohibitory: 99%']	99.86181259155273	1
Road	data/0000000437.png	374	400	163	193	['danger: 96%']	96.73516154289246	1
Road	data/0000000741.png	1011	1050	58	94	['prohibitory: 99%']	99.99614953994751	1
Road	data/0000000743.png	1100	1141	44	81	['prohibitory: 99%']	99.99992847442627	1
Road	data/0000000384.png	564	583	168	187	['mandatory: 94%']	94.79004144668579	1
Road	data/0000001071.png	925	954	129	154	['prohibitory: 99%']	99.53789710998535	1
Road	data/0000000435.png	413	435	166	189	['danger: 99%']	99.9441921710968	1
Road	data/0000000151.png	779	799	171	189	['danger: 64%']	64.23965096473694	1
Road	data/0000000636.png	389	468	142	184	['prohibitory: 97%']	97.94510006904602	1
Road	data/0000000434.png	424	447	170	191	['danger: 99%']	99.82163310050964	1
Road	data/0000001070.png	895	922	132	158	['prohibitory: 98%']	98.96366000175476	1
Road	data/0000000385.png	563	582	168	188	['mandatory: 89%']	89.59943056106567	1
Road	data/0000000742.png	1050	1090	52	89	['prohibitory: 99%']	99.99810457229614	1
Road	data/0000000902.png	371	405	79	115	['prohibitory: 99%']	99.9998927116394	1
Road	data/0000000731.png	780	810	90	121	['prohibitory: 99%']	99.99837875366211	1
Road	data/0000000725.png	718	746	91	122	['prohibitory: 99%']	99.99796152114868	1
Road	data/0000000719.png	686	714	93	122	['prohibitory: 99%']	99.99890327453613	1
Road	data/0000000686.png	680	710	92	124	['prohibitory: 99%']	99.99812841415405	1
Road	data/0000000692.png	682	711	92	123	['prohibitory: 99%']	99.99970197677612	1
Road	data/0000000645.png	998	1040	131	166	['prohibitory: 99%']	99.99252557754517	2
Road	data/0000000645.png	613	640	97	124	['prohibitory: 99%']	99.94770884513855	2
Road	data/0000000889.png	179	207	103	131	['prohibitory: 99%']	99.99960660934448	1
Road	data/0000000651.png	626	652	95	123	['prohibitory: 99%']	99.99979734420776	1
Road	data/0000000679.png	680	710	92	124	['prohibitory: 99%']	99.99725818634033	1
Road	data/0000000678.png	680	709	92	123	['prohibitory: 99%']	99.99197721481323	1
Road	data/0000000650.png	624	651	96	123	['prohibitory: 99%']	99.99933242797852	1
Road	data/0000000888.png	179	207	105	133	['prohibitory: 99%']	99.99943971633911	1
Road	data/0000000644.png	611	636	97	123	['prohibitory: 99%']	99.99722242355347	2
Road	data/0000000644.png	876	912	127	162	['prohibitory: 99%']	99.93351101875305	2
Road	data/0000000863.png	720	743	81	107	['prohibitory: 99%']	99.84912872314453	1
Road	data/0000000693.png	682	711	92	123	['prohibitory: 99%']	99.99977350234985	1
Road	data/0000000687.png	681	711	92	124	['prohibitory: 99%']	99.99886751174927	1
Road	data/0000000718.png	684	713	93	122	['prohibitory: 99%']	99.99526739120483	1
Road	data/0000000724.png	708	737	92	121	['prohibitory: 99%']	99.99963045120239	1
Road	data/0000000730.png	767	796	89	119	['prohibitory: 99%']	99.98657703399658	1
Road	data/0000000903.png	407	440	77	112	['prohibitory: 99%']	99.99959468841553	1
Road	data/0000000901.png	339	371	84	118	['prohibitory: 99%']	99.99988079071045	1
Road	data/0000000915.png	993	1042	0	25	['prohibitory: 58%']	58.28390717506409	1
Road	data/0000000726.png	724	753	91	121	['prohibitory: 99%']	99.9985933303833	1
Road	data/0000000732.png	797	826	91	121	['prohibitory: 99%']	99.99905824661255	1
Road	data/0000000530.png	395	438	14	56	['danger: 98%']	98.3946442604065	1
Road	data/0000000478.png	332	363	82	113	['danger: 88%']	88.48136067390442	1
Road	data/0000000691.png	682	711	91	123	['prohibitory: 99%']	99.99929666519165	1
Road	data/0000000685.png	681	710	92	124	['prohibitory: 99%']	99.99731779098511	1
Road	data/0000000875.png	272	295	122	145	['prohibitory: 98%']	98.42919111251831	1
Road	data/0000000652.png	631	657	96	122	['prohibitory: 99%']	99.99855756759644	1
Road	data/0000000646.png	614	641	98	125	['prohibitory: 99%']	99.96705055236816	1
Road	data/0000000647.png	618	643	99	125	['prohibitory: 99%']	99.69108700752258	1
Road	data/0000000653.png	634	661	95	122	['prohibitory: 99%']	99.99921321868896	1
Road	data/0000000684.png	681	710	92	124	['prohibitory: 99%']	99.99716281890869	1
Road	data/0000000690.png	681	711	92	123	['prohibitory: 99%']	99.99933242797852	1
Road	data/0000000531.png	392	433	12	51	['danger: 99%']	99.74184036254883	1
Road	data/0000000733.png	813	844	90	122	['prohibitory: 99%']	99.99909400939941	1
Road	data/0000000727.png	732	763	90	121	['prohibitory: 99%']	99.99932050704956	1
Road	data/0000000914.png	911	960	0	31	['prohibitory: 99%']	99.73389506340027	1
Road	data/0000000900.png	307	340	87	121	['prohibitory: 99%']	99.99985694885254	1
Road	data/0000000904.png	442	477	76	112	['prohibitory: 99%']	99.99947547912598	1
Road	data/0000000910.png	680	723	38	83	['prohibitory: 99%']	99.99985694885254	1
Road	data/0000000723.png	702	731	92	122	['prohibitory: 99%']	99.99971389770508	1
Road	data/0000000737.png	893	925	79	112	['prohibitory: 99%']	99.99874830245972	1
Road	data/0000000521.png	442	474	37	71	['danger: 99%']	99.42927360534668	1
Road	data/0000000482.png	423	453	78	110	['danger: 98%']	98.84646534919739	1
Road	data/0000000864.png	724	749	78	105	['prohibitory: 54%']	54.04442548751831	1
Road	data/0000000694.png	682	711	92	123	['prohibitory: 99%']	99.99896287918091	1
Road	data/0000000680.png	680	710	92	124	['prohibitory: 99%']	99.99589920043945	1
Road	data/0000000657.png	660	689	91	122	['prohibitory: 99%']	99.9976634979248	1
Road	data/0000000643.png	608	633	97	122	['prohibitory: 99%']	99.99936819076538	2
Road	data/0000000643.png	758	782	129	156	['prohibitory: 99%']	99.19775724411011	2
Road	data/0000000642.png	607	628	98	120	['prohibitory: 99%']	99.98430013656616	1
Road	data/0000000656.png	652	681	92	122	['prohibitory: 99%']	99.99967813491821	1
Road	data/0000000681.png	680	710	92	124	['prohibitory: 99%']	99.99803304672241	1
Road	data/0000000695.png	683	711	92	123	['prohibitory: 99%']	99.99778270721436	1
Road	data/0000000483.png	437	469	78	110	['danger: 99%']	99.80553388595581	1
Road	data/0000000534.png	367	408	2	40	['danger: 63%']	63.62140774726868	1
Road	data/0000000508.png	473	503	59	89	['danger: 90%']	90.2724027633667	1
Road	data/0000000736.png	869	901	81	114	['prohibitory: 99%']	99.99817609786987	1
Road	data/0000000722.png	698	728	92	123	['prohibitory: 99%']	99.99769926071167	1
Road	data/0000000911.png	726	771	25	70	['prohibitory: 99%']	99.99969005584717	1
Road	data/0000000905.png	476	514	75	113	['prohibitory: 99%']	99.99932050704956	1
Road	data/0000000913.png	841	894	1	50	['prohibitory: 99%']	99.89218711853027	1
Road	data/0000000907.png	552	590	65	104	['prohibitory: 99%']	99.99972581863403	1
Road	data/0000000708.png	681	710	91	122	['prohibitory: 99%']	99.99945163726807	1
Road	data/0000000734.png	830	862	88	120	['prohibitory: 99%']	99.99845027923584	1
Road	data/0000000720.png	688	717	92	122	['prohibitory: 99%']	99.9972939491272	1
Road	data/0000000278.png	911	946	310	347	['prohibitory: 80%']	80.11757135391235	1
Road	data/0000000536.png	345	387	0	30	['danger: 55%']	55.44333457946777	1
Road	data/0000000522.png	433	469	36	67	['danger: 81%']	81.22875690460205	1
Road	data/0000000481.png	406	435	79	111	['danger: 99%']	99.52830672264099	1
Road	data/0000000683.png	680	710	92	124	['prohibitory: 99%']	99.99798536300659	1
Road	data/0000000697.png	682	711	92	123	['prohibitory: 99%']	99.99788999557495	1
Road	data/0000000668.png	679	708	93	124	['prohibitory: 99%']	99.99703168869019	1
Road	data/0000000898.png	259	292	88	122	['prohibitory: 99%']	99.99924898147583	1
